gene,variable,pval,FDR,ensembl_gene_id,CHR,start,end,entrezgene_id
ABCD2,conditionTB,6.60E-05,1.24E-04,ENSG00000173208,12,39550033,39619803,225
ABCD3,conditionTB,0,0,ENSG00000117528,1,94418389,94518666,5825
ABCD4,conditionTB,3.30E-14,1.15E-13,ENSG00000119688,14,74285269,74303055,5826
ABCE1,conditionTB,8.60E-04,0.001448574,ENSG00000164163,4,145098288,145129524,6059
ABCF1,conditionTB,0,0,ENSG00000204574,6,30571393,30597179,23
ABCF2,conditionTB,7.60E-05,1.42E-04,ENSG00000033050,7,151211484,151227205,10061
ABCF3,conditionTB,2.50E-07,5.74E-07,ENSG00000161204,3,184186023,184194012,55324
ABCG1,conditionTB,0.88,0.897471533,ENSG00000160179,21,42199689,42297244,9619
ABCG2,conditionTB,0.026,0.03652076,ENSG00000118777,4,88090150,88231628,9429
ABHD1,conditionTB,0.0019,0.003077176,ENSG00000143994,2,27123789,27130812,84696
ABHD10,conditionTB,0,0,ENSG00000144827,3,111979010,111993368,55347
ABHD11,conditionTB,0,0,ENSG00000106077,7,73736094,73738852,83451
ABHD12,conditionTB,0,0,ENSG00000100997,20,25294742,25390835,26090
ABHD12B,conditionTB,4.50E-13,1.47E-12,ENSG00000131969,14,50872053,50904970,145447
ABHD13,conditionTB,1.10E-06,2.40E-06,ENSG00000139826,13,108218392,108234243,84945
ABHD14A,conditionTB,1.20E-05,2.40E-05,ENSG00000248487,3,51971426,51981199,25864
ABHD14B,conditionTB,0.0033,0.005200496,ENSG00000114779,3,51968510,51983409,84836
ABHD15,conditionTB,2.30E-08,5.68E-08,ENSG00000168792,17,29560547,29567037,116236
ABHD16A,conditionTB,0.002,0.003234259,ENSG00000204427,6,31686955,31703356,7920
ABHD17A,conditionTB,2.10E-11,6.24E-11,ENSG00000129968,19,1876810,1885496,81926
ABHD17B,conditionTB,0.22,0.262452186,ENSG00000107362,9,71862452,71911193,51104
ABHD17C,conditionTB,1.10E-05,2.21E-05,ENSG00000136379,15,80679684,80755621,58489
ABHD18,conditionTB,0.08,0.103755686,ENSG00000164074,4,127965306,128039953,80167
ABHD2,conditionTB,0,0,ENSG00000140526,15,89087459,89202355,11057
ABHD3,conditionTB,0,0,ENSG00000158201,18,21650901,21704780,171586
ABHD4,conditionTB,0,0,ENSG00000100439,14,22598237,22613215,63874
ABHD5,conditionTB,0.85,0.871264031,ENSG00000011198,3,43690108,43734371,51099
ABHD6,conditionTB,0,0,ENSG00000163686,3,58237532,58295693,57406
ABHD8,conditionTB,0,0,ENSG00000127220,19,17292131,17310236,79575
ABI1,conditionTB,0,0,ENSG00000136754,10,26746593,26861087,10006
ABI2,conditionTB,0.084,0.108610772,ENSG00000138443,2,203328280,203447728,10152
ABI3,conditionTB,0,0,ENSG00000108798,17,49210411,49223225,51225
ABI3BP,conditionTB,0.011,0.016229356,ENSG00000154175,3,100749156,100993515,25890
ABL1,conditionTB,0,0,ENSG00000097007,9,130713016,130887675,25
ABL2,conditionTB,0,0,ENSG00000143322,1,179099330,179229684,27
ABLIM1,conditionTB,0,0,ENSG00000099204,10,114431113,114768061,3983
ABLIM2,conditionTB,0.62,0.664261943,ENSG00000163995,4,7965310,8158832,84448
ABLIM3,conditionTB,6.00E-08,1.44E-07,ENSG00000173210,5,149141483,149260542,22885
ABO,conditionTB,0.76,0.791378745,ENSG00000175164,9,133233278,133276024,28
ABR,conditionTB,0,0,ENSG00000159842,17,1003519,1229738,29
ABRACL,conditionTB,0,0,ENSG00000146386,6,139028745,139043302,58527
ABT1,conditionTB,0.87,0.889090111,ENSG00000146109,6,26596953,26600739,29777
ABTB1,conditionTB,0.26,0.305347567,ENSG00000114626,3,127672935,127680926,80325
ABTB2,conditionTB,0,0,ENSG00000166016,11,34150987,34358010,25841
ACAA1,conditionTB,0,0,ENSG00000060971,3,38103129,38137242,30
ACAA2,conditionTB,2.10E-11,6.24E-11,ENSG00000167315,18,49782164,49813953,10449
ACACA,conditionTB,7.30E-06,1.49E-05,ENSG00000278540,17,37084992,37406836,31
ACACB,conditionTB,3.00E-05,5.78E-05,ENSG00000076555,12,109116595,109268226,32
ACAD10,conditionTB,8.90E-16,3.34E-15,ENSG00000111271,12,111686053,111757107,80724
ACAD11,conditionTB,0.0021,0.003385393,ENSG00000240303,3,132558138,132660082,84129
ACAD8,conditionTB,8.60E-10,2.33E-09,ENSG00000151498,11,134253548,134265855,27034
ACAD9,conditionTB,0,0,ENSG00000177646,3,128879596,128924003,28976
ACADM,conditionTB,0.0024,0.003844182,ENSG00000117054,1,75724431,75787575,34
ACADS,conditionTB,0,0,ENSG00000122971,12,120725774,120740008,35
ACADSB,conditionTB,4.10E-10,1.13E-09,ENSG00000196177,10,123008979,123058290,36
ACADVL,conditionTB,0.41,0.459863531,ENSG00000072778,17,7217125,7225266,37
ACAN,conditionTB,2.90E-09,7.62E-09,ENSG00000157766,15,88803436,88875353,176
ACAP1,conditionTB,0.056,0.074517333,ENSG00000072818,17,7336529,7351477,9744
ACAP2,conditionTB,0,0,ENSG00000114331,3,195274745,195443044,23527
ACAP3,conditionTB,8.70E-09,2.21E-08,ENSG00000131584,1,1292390,1309609,116983
ACAT1,conditionTB,0,0,ENSG00000075239,11,108116695,108147603,38
ACAT2,conditionTB,1.10E-16,4.29E-16,ENSG00000120437,6,159762045,159779112,39
ACBD3,conditionTB,0.99,0.990354407,ENSG00000182827,1,226144679,226186741,64746
ACBD4,conditionTB,0.15,0.184765935,ENSG00000181513,17,45132600,45144181,79777
ACBD5,conditionTB,2.50E-04,4.43E-04,ENSG00000107897,10,27168135,27243046,91452
ACBD6,conditionTB,2.20E-16,8.48E-16,ENSG00000230124,1,180269653,180502954,84320/100527964
ACCS,conditionTB,3.70E-06,7.75E-06,ENSG00000110455,11,44065925,44084237,84680
ACD,conditionTB,0.026,0.03652076,ENSG00000102977,16,67657512,67660815,65057
ACE,conditionTB,5.90E-09,1.52E-08,ENSG00000159640,17,63477061,63498380,1636
ACER2,conditionTB,0.84,0.862342395,ENSG00000177076,9,19409009,19452505,340485
ACER3,conditionTB,0,0,ENSG00000078124,11,76860859,77026797,55331
ACHE,conditionTB,0,0,ENSG00000087085,7,100889994,100896974,43
ACIN1,conditionTB,1.30E-15,4.82E-15,ENSG00000100813,14,23058564,23095614,22985
ACKR3,conditionTB,1.30E-04,2.37E-04,ENSG00000144476,2,236567787,236582354,57007
ACKR4,conditionTB,0.17,0.207408313,ENSG00000129048,3,132597270,132618967,51554
ACLY,conditionTB,1.90E-14,6.68E-14,ENSG00000131473,17,41866917,41930542,47
ACMSD,conditionTB,0.53,0.578980453,ENSG00000153086,2,134838616,134902034,130013
ACO1,conditionTB,0,0,ENSG00000122729,9,32384603,32454769,48
ACO2,conditionTB,0.0017,0.002769313,ENSG00000100412,22,41447830,41529273,50
ACOT1,conditionTB,0.067,0.087923734,ENSG00000184227,14,73537143,73543796,641371
ACOT11,conditionTB,0,0,ENSG00000162390,1,54542257,54639192,26027
ACOT13,conditionTB,0,0,ENSG00000112304,6,24667035,24705065,55856
ACOT2,conditionTB,0.072,0.09406115,ENSG00000119673,14,73567620,73575658,10965
ACOT4,conditionTB,0.0088,0.013155746,ENSG00000177465,14,73591873,73595766,122970
ACOT7,conditionTB,0.058,0.076995344,ENSG00000097021,1,6264269,6393767,11332
ACOT8,conditionTB,1.00E-15,3.74E-15,ENSG00000101473,20,45841721,45857405,10005
ACOT9,conditionTB,4.40E-13,1.44E-12,ENSG00000123130,X,23701055,23766475,23597
ACOX1,conditionTB,0.023,0.032548972,ENSG00000161533,17,75941507,75979177,51
ACOX3,conditionTB,0,0,ENSG00000087008,4,8366282,8440723,8310
ACP1,conditionTB,3.10E-08,7.57E-08,ENSG00000143727,2,264140,278283,52
ACP2,conditionTB,0.45,0.500071582,ENSG00000134575,11,47239302,47248906,53
ACP5,conditionTB,0,0,ENSG00000102575,19,11574660,11579008,54
ACP6,conditionTB,0.0042,0.006543533,ENSG00000162836,1,147629652,147670524,51205
ACPP,conditionTB,0,0,ENSG00000014257,3,132317369,132368298,55
ACRBP,conditionTB,5.30E-07,1.19E-06,ENSG00000111644,12,6638075,6647433,84519
ACRC,conditionTB,1.60E-07,3.73E-07,ENSG00000147174,X,71578437,71613583,93953
ACSBG1,conditionTB,0.3,0.347245464,ENSG00000103740,15,78167468,78245688,23205
ACSF2,conditionTB,0,0,ENSG00000167107,17,50426158,50474845,80221
ACSF3,conditionTB,0.0016,0.002612504,ENSG00000176715,16,89088375,89164121,197322
ACSL1,conditionTB,0,0,ENSG00000151726,4,184755595,184826818,2180
ACSL3,conditionTB,0.71,0.747278343,ENSG00000123983,2,222860942,222944639,2181
ACSL4,conditionTB,0,0,ENSG00000068366,X,109624244,109733403,2182
ACSL5,conditionTB,0,0,ENSG00000197142,10,112374116,112428379,51703
ACSL6,conditionTB,4.50E-05,8.56E-05,ENSG00000164398,5,131949973,132012243,23305
ACSM1,conditionTB,1.60E-05,3.16E-05,ENSG00000166743,16,20623235,20698890,116285
ACSM3,conditionTB,6.40E-13,2.08E-12,ENSG00000005187,16,20610243,20797581,6296
ACSM5,conditionTB,0.028,0.0391216,ENSG00000183549,16,20409534,20441336,54988
ACSS1,conditionTB,5.30E-06,1.10E-05,ENSG00000154930,20,25006230,25058980,84532
ACSS2,conditionTB,0,0,ENSG00000131069,20,34872146,34927962,55902
ACSS3,conditionTB,0.22,0.262452186,ENSG00000111058,12,80936414,81261210,79611
ACTA2,conditionTB,6.60E-09,1.69E-08,ENSG00000107796,10,88935074,88991339,59
ACTB,conditionTB,0,0,ENSG00000075624,7,5526409,5563902,60
ACTG1,conditionTB,0.053,0.070808568,ENSG00000184009,17,81509413,81523847,71
ACTL10,conditionTB,0.042,0.057156326,ENSG00000182584,20,33666943,33668525,170487
ACTL6A,conditionTB,2.10E-15,7.73E-15,ENSG00000136518,3,179562886,179588407,86
ACTN1,conditionTB,0.056,0.074517333,ENSG00000072110,14,68874128,68979440,87
ACTN2,conditionTB,2.70E-15,9.91E-15,ENSG00000077522,1,236664141,236764631,88
ACTN4,conditionTB,3.00E-07,6.85E-07,ENSG00000130402,19,38647649,38731589,81
ACTR10,conditionTB,0.0036,0.005653501,ENSG00000131966,14,58200080,58235636,55860
ACTR1A,conditionTB,0.79,0.817197009,ENSG00000138107,10,102461881,102502712,10121
ACTR1B,conditionTB,3.40E-04,5.96E-04,ENSG00000115073,2,97655939,97664044,10120
ACTR2,conditionTB,1.40E-10,3.97E-10,ENSG00000138071,2,65227788,65271253,10097
ACTR3,conditionTB,0,0,ENSG00000115091,2,113890063,113962596,10096
ACTR3B,conditionTB,0.72,0.756948081,ENSG00000133627,7,152759749,152855378,57180
ACTR3C,conditionTB,2.40E-06,5.10E-06,ENSG00000106526,7,150243916,150323725,653857
ACTR5,conditionTB,3.30E-07,7.51E-07,ENSG00000101442,20,38748460,38772520,79913
ACTR6,conditionTB,1.10E-04,2.02E-04,ENSG00000075089,12,100199122,100241865,64431
ACTR8,conditionTB,3.00E-10,8.35E-10,ENSG00000113812,3,53867066,53882152,93973
ACTRT3,conditionTB,0.27,0.315896835,ENSG00000184378,3,169766921,169769561,84517
ACVR1,conditionTB,0.015,0.021781334,ENSG00000115170,2,157736251,157876330,90
ACVR1B,conditionTB,2.60E-05,5.03E-05,ENSG00000135503,12,51951699,51997078,91
ACVR1C,conditionTB,3.00E-05,5.78E-05,ENSG00000123612,2,157526767,157628864,130399
ACVR2A,conditionTB,5.40E-04,9.28E-04,ENSG00000121989,2,147844517,147930826,92
ACVR2B,conditionTB,0.21,0.251338016,ENSG00000114739,3,38453890,38493142,93
ACVRL1,conditionTB,0,0,ENSG00000139567,12,51906908,51923361,94
ACY1,conditionTB,1.70E-04,3.07E-04,ENSG00000243989,3,51983340,51989197,95
ACYP1,conditionTB,0.29,0.336590796,ENSG00000119640,14,75053237,75069483,97
ACYP2,conditionTB,0.3,0.347245464,ENSG00000170634,2,53970838,54305300,98
ADA,conditionTB,0,0,ENSG00000196839,20,44619522,44652233,100
ADAL,conditionTB,0.027,0.037826532,ENSG00000168803,15,43330672,43354569,161823
ADAM10,conditionTB,0,0,ENSG00000137845,15,58588809,58749791,102
ADAM12,conditionTB,1.10E-04,2.02E-04,ENSG00000148848,10,126012381,126388477,8038
ADAM15,conditionTB,0,0,ENSG00000143537,1,155050566,155062775,8751
ADAM17,conditionTB,0,0,ENSG00000151694,2,9488486,9556732,6868
ADAM19,conditionTB,0,0,ENSG00000135074,5,157395534,157575775,8728
ADAM20,conditionTB,0.0088,0.013155746,ENSG00000134007,14,70522358,70535015,8748
ADAM21,conditionTB,0.065,0.085467721,ENSG00000139985,14,70417107,70460427,8747
ADAM22,conditionTB,0.093,0.119199706,ENSG00000008277,7,87934143,88202889,53616
ADAM23,conditionTB,0.06,0.079393882,ENSG00000114948,2,206443532,206621127,8745
ADAM28,conditionTB,2.80E-05,5.41E-05,ENSG00000042980,8,24294069,24359014,10863
ADAM32,conditionTB,0.67,0.71053055,ENSG00000197140,8,39106990,39284917,203102
ADAM8,conditionTB,0.97,0.973204079,ENSG00000151651,10,133262420,133276868,101
ADAM9,conditionTB,2.30E-06,4.90E-06,ENSG00000168615,8,38996754,39105445,8754
ADAMDEC1,conditionTB,0.0033,0.005200496,ENSG00000134028,8,24384285,24406013,27299
ADAMTS1,conditionTB,0.18,0.218540146,ENSG00000154734,21,26835755,26845409,9510
ADAMTS10,conditionTB,0.25,0.294519393,ENSG00000142303,19,8580240,8610735,81794
ADAMTS13,conditionTB,0.0031,0.004895253,ENSG00000160323,9,133414358,133459402,11093
ADAMTS14,conditionTB,4.10E-14,1.42E-13,ENSG00000138316,10,70672506,70762441,140766
ADAMTS17,conditionTB,1.00E-08,2.53E-08,ENSG00000140470,15,99971437,100342005,170691
ADAMTS2,conditionTB,0.27,0.315896835,ENSG00000087116,5,179110853,179345461,9509
ADAMTS4,conditionTB,0.19,0.229385639,ENSG00000158859,1,161184302,161199054,9507
ADAMTS6,conditionTB,2.30E-05,4.48E-05,ENSG00000049192,5,65148738,65481920,11174
ADAMTS7,conditionTB,0.032,0.044373164,ENSG00000136378,15,78759206,78811464,11173
ADAMTSL4,conditionTB,1.10E-16,4.29E-16,ENSG00000143382,1,150549369,150560937,54507
ADAP1,conditionTB,0.37,0.419954509,ENSG00000105963,7,897900,955407,11033
ADAP2,conditionTB,0,0,ENSG00000184060,17,30906344,30959322,55803
ADAR,conditionTB,8.90E-16,3.34E-15,ENSG00000160710,1,154581695,154628013,103
ADARB1,conditionTB,0.0077,0.011601898,ENSG00000197381,21,45073853,45226560,104
ADARB2,conditionTB,0.11,0.138761286,ENSG00000185736,10,1177313,1737525,105
ADAT1,conditionTB,2.20E-05,4.29E-05,ENSG00000065457,16,75596868,75623300,23536
ADAT2,conditionTB,0.036,0.049619414,ENSG00000189007,6,143422832,143450695,134637
ADAT3,conditionTB,0.016,0.023134844,ENSG00000213638,19,1905399,1913447,113179
ADCK1,conditionTB,0,0,ENSG00000063761,14,77800109,77935014,57143
ADCK2,conditionTB,0,0,ENSG00000133597,7,140672945,140696261,90956
ADCK3,conditionTB,6.60E-10,1.80E-09,ENSG00000163050,1,226940286,226987544,56997
ADCK4,conditionTB,0.0075,0.0113262,ENSG00000123815,19,40691514,40725784,79934
ADCK5,conditionTB,4.80E-10,1.32E-09,ENSG00000173137,8,144373101,144393242,203054
ADCY1,conditionTB,0.43,0.479907341,ENSG00000164742,7,45574140,45723116,107
ADCY3,conditionTB,4.50E-09,1.16E-08,ENSG00000138031,2,24819169,24920237,109
ADCY4,conditionTB,0.0037,0.005800112,ENSG00000129467,14,24318349,24335093,196883
ADCY5,conditionTB,0.79,0.817197009,ENSG00000173175,3,123282296,123449090,111
ADCY6,conditionTB,0.0065,0.00989842,ENSG00000174233,12,48766194,48789089,112
ADCY7,conditionTB,0,0,ENSG00000121281,16,50246137,50318135,113
ADCY9,conditionTB,0,0,ENSG00000162104,16,3953387,4116442,115
ADCYAP1,conditionTB,3.30E-05,6.35E-05,ENSG00000141433,18,904871,912172,116
ADD1,conditionTB,0,0,ENSG00000087274,4,2843844,2930076,118
ADD2,conditionTB,5.30E-05,1.00E-04,ENSG00000075340,2,70607618,70768225,119
ADD3,conditionTB,0.02,0.028531754,ENSG00000148700,10,109996368,110135565,120
ADGRA2,conditionTB,0.59,0.635972844,ENSG00000020181,8,37784191,37844896,25960
ADGRA3,conditionTB,0.0074,0.011180017,ENSG00000152990,4,22345071,22516066,166647
ADGRB1,conditionTB,0.69,0.728698413,ENSG00000181790,8,142449430,142545009,575
ADGRD1,conditionTB,0.24,0.283767454,ENSG00000111452,12,130953907,131141469,283383
ADGRE1,conditionTB,0,0,ENSG00000174837,19,6887566,6940459,2015
ADGRE2,conditionTB,2.00E-10,5.61E-10,ENSG00000127507,19,14732392,14778560,30817
ADGRE3,conditionTB,0.42,0.470023228,ENSG00000131355,19,14619117,14690027,84658
ADGRE5,conditionTB,4.00E-10,1.11E-09,ENSG00000123146,19,14380501,14408725,976
ADGRF3,conditionTB,3.00E-06,6.33E-06,ENSG00000173567,2,26308173,26346817,165082
ADGRG1,conditionTB,0.0081,0.012175707,ENSG00000205336,16,57610652,57665580,9289
ADGRG2,conditionTB,0.27,0.315896835,ENSG00000173698,X,18989307,19122637,10149
ADGRG3,conditionTB,2.70E-11,7.97E-11,ENSG00000182885,16,57668277,57689378,222487
ADGRG5,conditionTB,1.60E-04,2.89E-04,ENSG00000159618,16,57542643,57591681,221188
ADGRG6,conditionTB,0.0026,0.004148835,ENSG00000112414,6,142301854,142446266,57211
ADGRL1,conditionTB,2.60E-04,4.61E-04,ENSG00000072071,19,14147743,14206187,22859
ADH5,conditionTB,0,0,ENSG00000197894,4,99070978,99088801,128
ADHFE1,conditionTB,0.23,0.273122557,ENSG00000147576,8,66432492,66468907,137872
ADI1,conditionTB,0,0,ENSG00000182551,2,3497366,3519531,55256
ADIPOR1,conditionTB,0,0,ENSG00000159346,1,202940826,202958572,51094
ADIPOR2,conditionTB,0.19,0.229385639,ENSG00000006831,12,1688574,1788674,79602
ADIRF,conditionTB,0.29,0.336590796,ENSG00000148671,10,86968432,86983934,10974
ADK,conditionTB,1.30E-10,3.69E-10,ENSG00000156110,10,74151202,74709963,132
ADM,conditionTB,0,0,ENSG00000148926,11,10305073,10307397,133
ADM2,conditionTB,2.70E-14,9.43E-14,ENSG00000128165,22,50481543,50486440,79924
ADNP,conditionTB,0.004,0.006248658,ENSG00000101126,20,50888916,50931437,23394
ADNP2,conditionTB,0,0,ENSG00000101544,18,80109262,80147523,22850
ADO,conditionTB,0.015,0.021781334,ENSG00000181915,10,62804720,62808479,84890
ADORA2A,conditionTB,0,0,ENSG00000128271,22,24417879,24442357,135
ADORA2B,conditionTB,0,0,ENSG00000170425,17,15945130,15975746,136
ADORA3,conditionTB,0,0,ENSG00000282608,1,111499429,111503633,140
ADPGK,conditionTB,5.40E-10,1.48E-09,ENSG00000159322,15,72751294,72785846,83440
ADPRH,conditionTB,2.60E-09,6.85E-09,ENSG00000144843,3,119579268,119589945,141
ADPRHL1,conditionTB,0,0,ENSG00000153531,13,113399610,113453524,113622/101928841
ADPRHL2,conditionTB,1.10E-13,3.73E-13,ENSG00000116863,1,36088892,36093932,54936
ADPRM,conditionTB,1.10E-15,4.10E-15,ENSG00000170222,17,10697594,10711558,56985
ADRB1,conditionTB,0.64,0.682757883,ENSG00000043591,10,114043866,114046904,153
ADRB2,conditionTB,0.55,0.597744244,ENSG00000169252,5,148826611,148828623,154
ADRBK1,conditionTB,0,0,ENSG00000173020,11,67266473,67286556,156
ADRBK2,conditionTB,0,0,ENSG00000100077,22,25564675,25729294,157
ADRM1,conditionTB,3.30E-16,1.26E-15,ENSG00000130706,20,62302093,62308862,11047
ADSL,conditionTB,8.40E-11,2.42E-10,ENSG00000239900,22,40346461,40390463,158
ADSS,conditionTB,2.90E-08,7.10E-08,ENSG00000035687,1,244408494,244451909,159
ADSSL1,conditionTB,0.085,0.109832609,ENSG00000185100,14,104724229,104747325,122622
ADTRP,conditionTB,5.60E-06,1.16E-05,ENSG00000111863,6,11712054,11807046,84830
AEBP1,conditionTB,0.27,0.315896835,ENSG00000106624,7,44104345,44114562,165
AEBP2,conditionTB,6.40E-06,1.31E-05,ENSG00000139154,12,19404045,19720801,121536
AEN,conditionTB,0,0,ENSG00000181026,15,88621337,88632281,64782
AES,conditionTB,0.84,0.862342395,ENSG00000104964,19,3052910,3063107,166
AFAP1,conditionTB,8.90E-06,1.81E-05,ENSG00000196526,4,7758714,7939926,60312
AFAP1L2,conditionTB,0.46,0.510088889,ENSG00000169129,10,114294824,114404756,84632
AFF1,conditionTB,0.0031,0.004895253,ENSG00000172493,4,86935002,87141039,4299
AFF2,conditionTB,5.40E-06,1.12E-05,ENSG00000155966,X,148500617,149000663,2334
AFF3,conditionTB,3.80E-12,1.18E-11,ENSG00000144218,2,99545419,100192428,3899
AFF4,conditionTB,0,0,ENSG00000072364,5,132875395,132963634,27125
AFG3L2,conditionTB,2.20E-16,8.48E-16,ENSG00000141385,18,12328944,12377227,10939
AFMID,conditionTB,0.0059,0.009031971,ENSG00000183077,17,78187317,78207701,125061
AFTPH,conditionTB,3.40E-15,1.24E-14,ENSG00000119844,2,64524305,64593005,54812
AGA,conditionTB,0.7,0.737920628,ENSG00000038002,4,177430774,177442437,175
AGAP1,conditionTB,0.0066,0.01003976,ENSG00000157985,2,235494043,236131800,116987
AGAP2,conditionTB,0.59,0.635972844,ENSG00000135439,12,57723761,57742157,116986
AGAP3,conditionTB,3.00E-15,1.10E-14,ENSG00000133612,7,151085831,151144436,116988
AGAP4,conditionTB,0.18,0.218540146,ENSG00000188234,10,45825613,45853875,119016
AGAP5,conditionTB,0.043,0.05835237,ENSG00000172650,10,73674287,73698109,729092
AGAP6,conditionTB,0.035,0.048307814,ENSG00000204149,10,49982190,50011654,414189
AGAP9,conditionTB,0.45,0.500071582,ENSG00000204172,10,47501854,47523638,642517
AGBL2,conditionTB,0.0029,0.004595531,ENSG00000165923,11,47659591,47715389,79841
AGBL3,conditionTB,0.75,0.783359498,ENSG00000146856,7,134986508,135147963,340351
AGBL5,conditionTB,0.14,0.173380606,ENSG00000084693,2,27042364,27070622,60509
AGER,conditionTB,0.81,0.835349867,ENSG00000204305,6,32180968,32184322,177
AGFG1,conditionTB,4.70E-09,1.22E-08,ENSG00000173744,2,227472152,227561217,3267
AGFG2,conditionTB,7.60E-06,1.55E-05,ENSG00000106351,7,100539203,100568220,3268
AGGF1,conditionTB,0,0,ENSG00000164252,5,77029251,77065234,55109
AGK,conditionTB,0,0,ENSG00000006530,7,141551278,141655244,55750
AGL,conditionTB,1.00E-10,2.86E-10,ENSG00000162688,1,99850361,99924023,178
AGMAT,conditionTB,0.0015,0.002455248,ENSG00000116771,1,15571699,15585051,79814
AGO1,conditionTB,0,0,ENSG00000092847,1,35869808,35930532,26523
AGO2,conditionTB,0,0,ENSG00000123908,8,140520156,140635633,27161
AGO3,conditionTB,2.20E-16,8.48E-16,ENSG00000126070,1,35930718,36072500,192669
AGO4,conditionTB,0,0,ENSG00000134698,1,35808016,35857890,192670
AGPAT1,conditionTB,0,0,ENSG00000204310,6,32168212,32178096,10554
AGPAT2,conditionTB,0,0,ENSG00000169692,9,136673143,136687457,10555
AGPAT3,conditionTB,8.20E-08,1.95E-07,ENSG00000160216,21,43865223,43987592,56894
AGPAT4,conditionTB,0,0,ENSG00000026652,6,161129967,161274061,56895
