ensembl_gene_id	gene_biotype	hgnc_symbol
ENSG00000238213	processed_pseudogene	TARDBPP2
ENSG00000211668	IG_V_gene	IGLV2-11
ENSG00000276064	processed_pseudogene	
ENSG00000242173	protein_coding	ARHGDIG
ENSG00000236822	antisense	
ENSG00000265713	transcribed_processed_pseudogene	
ENSG00000211693	TR_V_gene	TRGV11
ENSG00000140623	protein_coding	SEPT12
ENSG00000217482	processed_pseudogene	HMGB1P17
ENSG00000227453	processed_pseudogene	HNRNPA1P63
ENSG00000256553	TR_V_gene	TRAV1-2
ENSG00000216802	processed_pseudogene	
ENSG00000166211	protein_coding	SPIC
ENSG00000153179	protein_coding	RASSF3
ENSG00000221996	polymorphic_pseudogene	OR52B4
ENSG00000258689	lincRNA	LINC01269
ENSG00000232543	IG_D_gene	IGHD4-11
ENSG00000211691	TR_J_gene	TRGJP
ENSG00000276409	protein_coding	CCL14
ENSG00000248423	processed_pseudogene	
ENSG00000257169	processed_pseudogene	
ENSG00000116863	protein_coding	ADPRHL2
ENSG00000282673	protein_coding	PRB1
ENSG00000253152	IG_V_pseudogene	IGLV3-17
ENSG00000263300	antisense	
ENSG00000264435	transcribed_processed_pseudogene	
ENSG00000265142	antisense	MIR133A1HG
ENSG00000276408	lincRNA	
ENSG00000279298	lincRNA	
ENSG00000258958	lincRNA	
ENSG00000215878	processed_pseudogene	MARCKSL1P2
ENSG00000244097	processed_pseudogene	RPS4XP17
ENSG00000273104	lincRNA	
ENSG00000229525	antisense	
ENSG00000279009	TEC	
ENSG00000228803	processed_pseudogene	
ENSG00000223949	antisense	ROR1-AS1
ENSG00000233306	TR_V_gene	TRGV2
ENSG00000135312	protein_coding	HTR1B
ENSG00000280145	lincRNA	
ENSG00000230067	transcribed_processed_pseudogene	HSPD1P6
ENSG00000254793	processed_pseudogene	FDPSP4
ENSG00000259028	lincRNA	
ENSG00000256462	antisense	
ENSG00000237719	processed_pseudogene	
ENSG00000276523	antisense	
ENSG00000182888	processed_pseudogene	
ENSG00000115844	protein_coding	DLX2
ENSG00000258859	lincRNA	
ENSG00000233577	lincRNA	
ENSG00000254717	transcribed_unprocessed_pseudogene	GLYATL1P2
ENSG00000214888	antisense	
ENSG00000236490	protein_coding	TAPBP
ENSG00000100362	protein_coding	PVALB
ENSG00000279718	processed_pseudogene	SNX18P12
ENSG00000241668	processed_pseudogene	RPL19P11
ENSG00000248294	lincRNA	
ENSG00000127540	protein_coding	UQCR11
ENSG00000258770	lincRNA	
ENSG00000234460	lincRNA	
ENSG00000175800	unitary_pseudogene	OR52B3P
ENSG00000163145	protein_coding	C1QTNF7
ENSG00000262905	antisense	
ENSG00000260092	protein_coding	
ENSG00000253376	lincRNA	
ENSG00000280668	lincRNA	LINC00521
ENSG00000211945	IG_V_gene	IGHV1-18
ENSG00000267690	antisense	LDLRAD4-AS1
ENSG00000262708	processed_pseudogene	
ENSG00000205488	antisense	CALML3-AS1
ENSG00000272155	antisense	
ENSG00000251409	lincRNA	
ENSG00000172059	protein_coding	KLF11
ENSG00000211821	TR_V_gene	TRDV2
ENSG00000279140	TEC	
ENSG00000213689	protein_coding	TREX1
ENSG00000224059	processed_pseudogene	HSPA8P16
ENSG00000124257	protein_coding	NEURL2
ENSG00000188643	protein_coding	S100A16
ENSG00000272021	lincRNA	
ENSG00000144645	protein_coding	OSBPL10
ENSG00000232018	lincRNA	
ENSG00000101363	protein_coding	MANBAL
ENSG00000258701	lincRNA	LINC00638
ENSG00000278932	lincRNA	
ENSG00000211849	TR_J_gene	TRAJ40
ENSG00000228079	lincRNA	
ENSG00000248367	antisense	
ENSG00000259152	sense_intronic	
ENSG00000206465	protein_coding	SFTA2
ENSG00000265689	lincRNA	
ENSG00000181961	protein_coding	OR4A16
ENSG00000280312	TEC	
ENSG00000254910	antisense	
ENSG00000267503	antisense	
ENSG00000211843	TR_J_gene	TRAJ46
ENSG00000275400	processed_pseudogene	
ENSG00000243303	processed_pseudogene	
ENSG00000247271	antisense	ZBED5-AS1
ENSG00000161920	protein_coding	MED11
ENSG00000265544	sense_intronic	
ENSG00000276131	antisense	
ENSG00000267366	antisense	
ENSG00000129355	protein_coding	CDKN2D
ENSG00000243627	protein_coding	
ENSG00000211846	TR_J_gene	TRAJ43
ENSG00000146039	protein_coding	SLC17A4
ENSG00000258970	antisense	
ENSG00000235128	processed_pseudogene	
ENSG00000239432	processed_pseudogene	
ENSG00000267293	processed_pseudogene	
ENSG00000248029	lincRNA	
ENSG00000211699	TR_V_gene	TRGV3
ENSG00000228740	antisense	GABRG3-AS1
ENSG00000237837	lincRNA	
ENSG00000185885	protein_coding	IFITM1
ENSG00000246308	antisense	
ENSG00000267702	sense_intronic	
ENSG00000265775	sense_intronic	
ENSG00000279275	TEC	
ENSG00000224156	protein_coding	TUBB
ENSG00000235942	protein_coding	LCE6A
ENSG00000215005	processed_pseudogene	HSPD1P7
ENSG00000227171	protein_coding	RNF39
ENSG00000264598	sense_intronic	
ENSG00000156689	protein_coding	GLYATL2
ENSG00000267177	antisense	
ENSG00000244217	processed_pseudogene	RPS4XP10
ENSG00000274594	processed_pseudogene	
ENSG00000265356	sense_intronic	
ENSG00000266954	antisense	
ENSG00000228172	antisense	
ENSG00000232612	processed_pseudogene	RPL31P35
ENSG00000262492	processed_pseudogene	
ENSG00000264643	lincRNA	
ENSG00000272840	lincRNA	
ENSG00000163206	protein_coding	SMCP
ENSG00000204860	antisense	FAM201A
ENSG00000263571	lincRNA	
ENSG00000239804	processed_pseudogene	
ENSG00000146281	protein_coding	PM20D2
ENSG00000124143	protein_coding	ARHGAP40
ENSG00000205625	processed_pseudogene	
ENSG00000263874	lincRNA	LINC00672
ENSG00000248949	lincRNA	
ENSG00000224982	protein_coding	TMEM233
ENSG00000228250	protein_coding	LY6G6C
ENSG00000163909	protein_coding	HEYL
ENSG00000242229	processed_pseudogene	RPS3AP14
ENSG00000250173	lincRNA	
ENSG00000255252	antisense	
ENSG00000226461	unprocessed_pseudogene	OR10G5P
ENSG00000229795	processed_pseudogene	RPS21P1
ENSG00000281398	processed_transcript	SNHG4
ENSG00000248206	sense_intronic	
ENSG00000251687	antisense	
ENSG00000230457	processed_pseudogene	PA2G4P4
ENSG00000230686	antisense	
ENSG00000270492	processed_pseudogene	
ENSG00000227971	processed_pseudogene	
ENSG00000259242	antisense	
ENSG00000261070	lincRNA	
ENSG00000231335	sense_intronic	
ENSG00000250192	lincRNA	
ENSG00000250016	processed_pseudogene	SNX18P23
ENSG00000248320	processed_pseudogene	PRKRIRP9
ENSG00000204282	processed_transcript	TNRC6C-AS1
ENSG00000249272	unprocessed_pseudogene	UNC93B8
ENSG00000282133	TR_J_gene	TRBJ1-3
ENSG00000226601	lincRNA	
ENSG00000221836	protein_coding	OR2A5
ENSG00000139540	protein_coding	SLC39A5
ENSG00000136732	protein_coding	GYPC
ENSG00000279408	protein_coding	
ENSG00000267404	processed_pseudogene	
ENSG00000139675	protein_coding	HNRNPA1L2
ENSG00000281410	antisense	
ENSG00000259471	lincRNA	LINC01169
ENSG00000215837	transcribed_unprocessed_pseudogene	SDHAP2
ENSG00000229023	processed_pseudogene	
ENSG00000265697	antisense	
ENSG00000237861	processed_pseudogene	
ENSG00000237389	lincRNA	
ENSG00000224014	processed_pseudogene	
ENSG00000243661	processed_pseudogene	WBP1LP1
ENSG00000267456	processed_pseudogene	
ENSG00000273773	unprocessed_pseudogene	
ENSG00000267896	antisense	
ENSG00000242147	lincRNA	
ENSG00000224841	protein_coding	RGL2
ENSG00000221406	miRNA	MIR320B2
ENSG00000267396	antisense	
ENSG00000238072	processed_pseudogene	
ENSG00000132109	protein_coding	TRIM21
ENSG00000176720	protein_coding	BOK
ENSG00000259237	lincRNA	
ENSG00000259342	antisense	
ENSG00000244717	processed_pseudogene	RPS27P14
ENSG00000223910	antisense	ZNF32-AS3
ENSG00000213338	processed_pseudogene	ATF4P1
ENSG00000231680	lincRNA	
ENSG00000263705	miRNA	MIR5689
ENSG00000251572	processed_pseudogene	
ENSG00000281958	TR_J_gene	TRBJ1-4
ENSG00000280724	lincRNA	
ENSG00000229608	unprocessed_pseudogene	GOLGA2P4
ENSG00000196911	protein_coding	KPNA5
ENSG00000225619	antisense	MYT1L-AS1
ENSG00000237136	protein_coding	C4orf51
ENSG00000223273	misc_RNA	RN7SKP172
ENSG00000274333	lincRNA	
ENSG00000114744	protein_coding	COMMD2
ENSG00000259473	lincRNA	
ENSG00000148200	protein_coding	NR6A1
ENSG00000199605	misc_RNA	RNY4P24
ENSG00000163803	protein_coding	PLB1
ENSG00000228328	processed_pseudogene	
ENSG00000272681	lincRNA	FAM223A
ENSG00000230818	processed_pseudogene	MTND2P16
ENSG00000279639	unprocessed_pseudogene	
ENSG00000224478	lincRNA	
ENSG00000238516	misc_RNA	
ENSG00000279295	TEC	
ENSG00000281625	antisense	
ENSG00000187566	protein_coding	NHLRC1
ENSG00000268945	lincRNA	
ENSG00000241202	antisense	ZIC4-AS1
ENSG00000181958	protein_coding	OR4A15
ENSG00000214867	processed_pseudogene	SRSF9P1
ENSG00000211767	TR_J_gene	TRBJ2-3
ENSG00000212360	snRNA	RNU6-1177P
ENSG00000236243	processed_pseudogene	RPL6P29
ENSG00000250804	unprocessed_pseudogene	
ENSG00000277212	miRNA	
ENSG00000275882	unprocessed_pseudogene	IKBKGP1
ENSG00000260651	antisense	
ENSG00000225773	processed_transcript	C4B-AS1
ENSG00000274717	processed_pseudogene	
ENSG00000196639	protein_coding	HRH1
ENSG00000222099	misc_RNA	RN7SKP32
ENSG00000158301	protein_coding	GPRASP2
ENSG00000254891	unprocessed_pseudogene	OR4A9P
ENSG00000239539	processed_pseudogene	HMGN1P20
ENSG00000272904	processed_transcript	
ENSG00000212517	snoRNA	
ENSG00000254471	processed_pseudogene	
ENSG00000280709	lincRNA	
ENSG00000105717	protein_coding	PBX4
ENSG00000274430	misc_RNA	
ENSG00000254507	transcribed_processed_pseudogene	
ENSG00000265145	snoRNA	SNORD53
ENSG00000231492	lincRNA	
ENSG00000254434	lincRNA	
ENSG00000228907	protein_coding	RNF5
ENSG00000275283	misc_RNA	
ENSG00000211839	TR_J_gene	TRAJ50
ENSG00000123684	protein_coding	LPGAT1
ENSG00000241524	misc_RNA	RN7SL632P
ENSG00000168038	protein_coding	ULK4
ENSG00000255014	processed_pseudogene	ARL6IP1P3
ENSG00000255016	processed_pseudogene	
ENSG00000126890	protein_coding	CTAG2
ENSG00000276138	snRNA	
ENSG00000226255	processed_pseudogene	UBE2V2P1
ENSG00000199378	misc_RNA	
ENSG00000211861	TR_J_gene	TRAJ28
ENSG00000273170	protein_coding	
ENSG00000255178	lincRNA	
ENSG00000228571	unprocessed_pseudogene	HSFY7P
ENSG00000201684	misc_RNA	RN7SKP239
ENSG00000256973	lincRNA	
ENSG00000248645	unprocessed_pseudogene	
ENSG00000253084	snRNA	RNU6-840P
ENSG00000278039	misc_RNA	
ENSG00000238921	miRNA	
ENSG00000207385	snRNA	RNU6-310P
ENSG00000199933	misc_RNA	RNY1P16
ENSG00000254437	processed_pseudogene	
ENSG00000138771	protein_coding	SHROOM3
ENSG00000264927	miRNA	
ENSG00000264274	miRNA	MIR4799
ENSG00000252534	misc_RNA	
ENSG00000200872	rRNA	RNA5SP456
ENSG00000241413	misc_RNA	RN7SL441P
ENSG00000272312	lincRNA	
ENSG00000199837	rRNA	RNA5SP71
ENSG00000249454	unprocessed_pseudogene	GZMAP1
ENSG00000278502	miRNA	MIR6082
ENSG00000239884	misc_RNA	RN7SL608P
ENSG00000275053	miRNA	
ENSG00000173320	protein_coding	STOX2
ENSG00000244357	misc_RNA	RN7SL145P
ENSG00000276481	miRNA	MIR6832
ENSG00000200616	misc_RNA	
ENSG00000137860	protein_coding	SLC28A2
ENSG00000275127	snoRNA	SNORD116-22
ENSG00000201329	snoRNA	
ENSG00000281025	misc_RNA	
ENSG00000163444	protein_coding	TMEM183A
ENSG00000264688	misc_RNA	
ENSG00000275344	miRNA	MIR6503
ENSG00000252724	snoRNA	
ENSG00000275505	miRNA	MIR6787
ENSG00000197766	protein_coding	CFD
ENSG00000273648	miRNA	MIR8065
ENSG00000276265	miRNA	MIR3118-3
ENSG00000277326	miRNA	MIR6805
ENSG00000263691	miRNA	
ENSG00000207938	miRNA	MIR511
ENSG00000265610	miRNA	
ENSG00000276062	misc_RNA	
ENSG00000207625	miRNA	MIR128-2
ENSG00000207162	snRNA	RNU6-549P
ENSG00000199483	snRNA	RNU4-15P
ENSG00000266417	miRNA	MIR4424
ENSG00000264453	miRNA	
ENSG00000212336	rRNA	RNA5SP210
ENSG00000274848	misc_RNA	
ENSG00000201025	snoRNA	
ENSG00000252727	scaRNA	
ENSG00000274866	misc_RNA	
ENSG00000200873	rRNA	RNA5SP399
ENSG00000281975	TEC	
ENSG00000263447	miRNA	
ENSG00000240250	misc_RNA	RN7SL541P
ENSG00000201592	snoRNA	
ENSG00000200623	snoRNA	SNORD18A
ENSG00000275996	snoRNA	SNORD27
ENSG00000252997	miRNA	
ENSG00000221409	miRNA	
ENSG00000221247	miRNA	
ENSG00000265879	miRNA	MIR4748
ENSG00000265993	miRNA	MIR5694
ENSG00000252433	snoRNA	
ENSG00000274674	miRNA	MIR6741
ENSG00000277764	misc_RNA	
ENSG00000251369	protein_coding	ZNF550
ENSG00000252041	rRNA	RNA5SP228
ENSG00000221322	miRNA	
ENSG00000210825	snoRNA	SNORA40
ENSG00000264330	miRNA	MIR5186
ENSG00000199635	misc_RNA	
ENSG00000212342	snoRNA	
ENSG00000263940	misc_RNA	RN7SL275P
ENSG00000273904	ribozyme	
ENSG00000199867	misc_RNA	
